274개	역	역맛집	역카페	역데이트	역데이트코스	역술집
419민주묘지	969	0	0	0	0	0
가락시장	7047	2077	46	0	0	27
가산디지털단지	10731	1281	54	0	0	18
가양	15595	3474	778	4	0	12
가오리	1236	109	0	0	0	0
가좌	7295	696	848	0	0	0
강남	1543460	378231	92569	42625	3694	51558
강남구청	61480	23806	3005	43	0	860
강동	16854	3120	913	11	0	48
강동구청	0	0	561	0	0	0
강변	22891	8275	3265	51	5	115
개봉	16549	3919	1519	0	0	127
개포동	2677	21	0	0	0	0
개화	1528	17	0	0	0	0
개화산	6329	442	294	0	0	0
건대입구	35235	5272	552	17	10	79
경복궁	73896	10738	4737	47	34	163
경찰병원	4038	1188	26	0	0	0
고덕	4819	849	124	0	0	0
고려대	2629	168	83	0	0	0
고속터미널	11082	1196	40	0	0	0
공덕	35930	12504	2009	20	0	66
공릉	9803	1466	1463	0	0	236
공항시장	1918	153	37	0	0	0
광나루	6109	1821	195	0	0	0
광운대	3929	402	181	0	0	0
광화문	12443	1588	473	0	0	0
광흥창	5968	755	699	0	0	0
교대	46680	14456	4059	138	0	553
구로	16889	4733	238	0	0	18
구로디지털단지	17362	3888	138	0	0	36
구룡	918	114	0	0	0	0
구반포	2373	287	0	0	0	0
구산	9257	1635	2279	0	0	26
구의	29024	10054	5747	35	54	351
구일	7529	327	0	0	0	0
구파발	6370	471	41	0	0	0
국회의사당	8762	1686	48	0	0	6
군자	39098	10534	4352	37	0	306
굽은다리	0	1182	1465	0	0	0
금천구청	2744	188	10	0	0	0
금호	7250	893	785	0	0	30
길동	11184	3735	155	0	0	33
길음	9734	1738	551	0	0	0
김포공항	2779	19	0	0	0	0
까치산	21496	4471	1018	59	0	112
낙성대	16328	3251	561	12	0	20
남구로	7783	1101	51	0	0	0
남부터미널	5396	528	138	0	0	0
남성	29287	6766	5375	11	0	37
남영	17534	6527	3775	4	0	21
남태령	422	0	0	0	0	0
내방	26894	6156	5345	19	0	41
노들	9756	703	1382	0	0	204
노량진	9947	1130	12	0	0	0
노원	68061	13288	1706	378	52	267
녹번	3288	1061	145	0	0	0
녹사평	32850	4214	1372	0	0	47
녹천	1238	15	0	0	0	0
논현	86089	13455	3652	21	0	605
답십리	4132	278	107	0	0	0
당고개	1978	145	56	0	0	0
당산	32823	11762	1441	70	0	362
대림	10691	1877	161	0	0	0
대모산입구	755	0	0	0	0	0
대방	7289	1248	224	0	0	0
대청	3742	1016	254	0	0	0
대치	7425	5100	469	0	0	102
대흥	7970	2536	3431	0	0	24
도곡	4800	529	113	0	0	0
도봉	3257	894	159	0	0	0
도봉산	4779	634	11	0	0	0
독립문	3655	254	14	0	0	0
독바위	838	13	0	0	0	0
독산	6238	686	209	0	0	167
돌곶이	3717	613	358	0	0	0
동대문	8804	3064	199	0	0	144
동대문역사문화공원	10430	1195	171	0	0	17
동대입구	3172	482	23	0	0	0
동묘앞	4495	117	0	0	0	0
동작	3675	17	15	0	0	0
등촌	23720	5091	3567	0	0	199
디지털미디어시티	4101	2359	16	0	0	0
뚝섬	35441	10472	7919	36	0	1326
뚝섬유원지	7853	479	403	0	0	0
마곡	11519	6945	465	0	0	107
마곡나루	26789	6360	843	162	0	153
마들	4231	429	69	0	0	0
마장	1475	250	173	0	0	0
마포	21670	13755	1772	49	0	554
마포구청	10379	778	1001	0	0	32
망원	31532	6709	4755	33	0	919
매봉	16956	5966	3305	20	0	391
먹골	10460	2946	811	38	0	187
면목	6625	1050	1249	0	0	9
명동	19866	12784	263	559	139	35
명일	6450	1490	506	0	0	18
목동	32012	7023	2120	15	0	169
몽촌토성	4521	369	372	0	0	0
무악재	1088	35	0	0	0	0
문래	14173	7374	485	10	0	31
문정	15377	5795	1322	0	0	110
미아	20279	3131	3227	9	0	182
미아사거리	7278	965	63	0	0	57
반포	3184	151	23	0	0	0
발산	49216	28402	5720	345	11	1349
방배	45915	5497	876	51	0	140
방학	5965	1886	240	0	0	68
방화	6257	619	41	0	0	27
버티고개	1852	42	0	0	0	0
보라매	9354	2781	229	0	0	0
보문	6062	1334	2316	0	0	0
복정	4473	547	101	0	0	0
봉은사	12573	5843	509	0	0	11
봉천	13341	5664	848	0	0	56
봉화산	3270	311	26	0	0	0
북한산보국문	235	0	0	0	0	0
북한산우이	266	0	0	0	0	0
불광	10614	2707	527	0	0	419
사가정	10804	1087	214	0	0	23
사당	89197	30592	7689	396	31	3014
사평	1262	42	0	0	0	0
삼각지	9346	1734	480	0	0	0
삼성	250653	31021	6517	565	521	613
삼성중앙	12510	6382	1609	0	0	24
삼양	182	22	0	0	0	0
삼양사거리	191	115	0	0	0	0
상계	10315	3095	1295	0	0	60
상도	7938	1948	798	0	0	58
상봉	15225	1930	1863	0	0	56
상수	96944	60847	7833	476	275	2261
상왕십리	3922	1037	68	0	0	0
상월곡	1143	114	13	0	0	0
상일동	2229	18	0	0	0	0
새절	13340	1611	2791	10	0	114
샛강	10063	2137	407	0	0	0
서강대	2024	38	75	0	0	0
서대문	9681	2805	383	0	0	214
서울대입구	77754	22052	4761	57	0	222
서울숲	8783	486	402	0	0	0
서울역	100	0	0	0	0	0
서초	20248	4389	2266	0	0	101
석계	19163	7068	984	10	37	204
석촌	16616	8318	4312	14	0	33
선릉	138544	62757	4455	185	0	0
선유도	0	5274	844	0	0	142
선정릉	19453	12268	1442	0	0	34
성수	51488	11678	6606	49	0	188
성신여대입구	8010	274	63	0	0	0
솔밭공원	1145	1	800	0	0	0
솔샘	375	80	17	0	0	0
송정	33439	4633	1006	0	0	225
송파	6327	1194	1500	0	0	0
수락산	8510	1496	1364	0	0	0
수색	2895	169	0	0	0	0
수서	38429	2568	283	0	0	66
수유	67020	14852	4729	352	7	527
숙대입구	10088	3861	3649	16	0	0
숭실대입구	3063	228	43	0	0	0
시청	45333	34422	1427	18	0	133
신금호	3352	158	86	0	0	0
신길	4784	441	163	0	0	0
신논현	115432	51159	3268	733	79	1654
신당	19001	8389	1996	66	0	92
신대방	14656	3736	407	0	0	27
신대방삼거리	7041	1262	384	0	0	0
신도림	24680	4566	164	0	0	479
신림	95469	23425	2148	100	62	1314
신목동	1028	134	190	0	0	0
신반포	1755	15	0	0	0	0
신방화	11265	1806	474	0	0	16
신사	256148	97820	20143	724	31	15163
신설동	4202	655	155	1	0	0
신용산	9271	4158	587	57	54	9
신이문	1237	51	24	0	0	0
신정	8094	577	701	0	0	0
신촌	44226	24433	712	118	69	273
신풍	5288	7201	630	0	0	0
쌍문	20108	6094	2278	352	0	48
아차산	15446	2508	2398	0	40	76
아현	6028	1073	613	0	0	10
안국	80912	15730	11840	446	20	49
안암	8564	0	0	0	0	146
암사	7769	948	1698	1	0	14
압구정	42271	10012	0	15	38	5325
압구정로데오	16382	2794	188	0	0	0
애오개	3843	1278	125	0	0	12
약수	28199	10721	3052	10	0	288
양재	58022	19274	5164	45	0	622
양재시민의숲	3526	266	100	0	0	12
양천향교	6354	526	664	0	0	0
양평	6882	1040	1038	0	0	0
어린이대공원	18584	1634	382	6	0	0
언주	37588	14299	1773	0	0	198
