지하철 노선,지하철역,CGV,롯데시네마,메가박스,총합
3호선,가락시장역,,,,0
7호선,가산디지털단지역,,1,,1
9호선,가양역,,1,,1
경의중앙선,가좌역,,,,0
7호선,강남구청역,1,,,1
2호선,강남역,1,,1.5,2.5
8호선,강동구청역,,,1,1
5호선,강동역,,,,0
2호선,강변역,1,,,1
5호선,개롱역,,,,0
1호선,개봉역,,,,0
분당선,개포동역,,,,0
5호선,개화산역,,,,0
9호선,개화역,,,,0
5호선,거여역,,,,0
2호선,건대입구역,1,1,,2
3호선,경복궁역,,,,0
3호선,경찰병원역,,,,0
5호선,고덕역,,,,0
6호선,고려대역,,,,0
3호선,고속터미널역,,,1,1
5호선,공덕역,,,,0
7호선,공릉역,,,,0
9호선,공항시장역,,,,0
5호선,광나루역,,,,0
1호선,광운대역,,,,0
5호선,광화문역,,,,0
6호선,광흥창역,,,,0
2호선,교대역,,,,0
2호선,구로디지털단지역,,0.5,,0.5
1호선,구로역,1,,,1
분당선,구룡역,,,,0
9호선,구반포역,,,,0
6호선,구산역,,,,0
2호선,구의역,,,,0
1호선,구일역,,,,0
3호선,구파발역,,1,,1
9호선,국회의사당역,,,,0
5호선,군자역,,,1,1
5호선,굽은다리역,1,,,1
1호선,금천구청역,,,,0
3호선,금호역,,,,0
5호선,길동역,,,,0
4호선,길음역,,,,0
5호선,김포공항역,,1,,1
2호선,까치산역,,,,0
2호선,낙성대역,,,,0
7호선,남구로역,,,,0
3호선,남부터미널역,,,,0
7호선,남성역,,,,0
1호선,남영역,,,,0
4호선,남태령역,,,,0
7호선,내방역,,,,0
9호선,노들역,,,,0
1호선,노량진역,,,,0
4호선,노원역,,1,,1
3호선,녹번역,,,,0
6호선,녹사평역,,,,0
1호선,녹천역,,,,0
7호선,논현역,,,,0
5호선,답십리역,,,,0
4호선,당고개역,,,,0
2호선,당산역,,,,0
2호선,대림역,,,,0
분당선,대모산입구역,,,,0
1호선,대방역,,,,0
3호선,대청역,,,,0
3호선,대치역,,,,0
6호선,대흥역,,,,0
3호선,도곡역,,,,0
2호선,도림천역,,,,0
1호선,도봉산역,,,,0
1호선,도봉역,,,,0
3호선,독립문역,,,,0
6호선,독바위역,,,,0
1호선,독산역,,0.5,,0.5
6호선,돌곶이역,,,,0
1호선,동대문역,0.5,,,0.5
2호선,동대문역사문화공원역,1,,1,2
3호선,동대입구역,,,,0
1호선,동묘앞역,,0.3,,0.3
4호선,동작역,,,,0
5호선,둔촌동역,,,,0
9호선,등촌역,,,,0
6호선,디지털미디어시티역,,,,0
2호선,뚝섬역,,,,0
7호선,뚝섬유원지역,,,,0
9호선,마곡나루역,,,,0
5호선,마곡역,,,,0
7호선,마들역,,,,0
5호선,마장역,,,,0
5호선,마천역,,,,0
6호선,마포구청역,,,,0
5호선,마포역,,,,0
경의중앙선,망우역,0.5,,,0.5
6호선,망원역,,,,0
3호선,매봉역,,,,0
7호선,먹골역,,,,0
7호선,면목역,,,,0
4호선,명동역,2,0.5,,2.5
5호선,명일역,,,,0
5호선,목동역,,,,0
8호선,몽촌토성역,,,,0
3호선,무악재역,,,,0
2호선,문래역,,,,0
8호선,문정역,,,,0
4호선,미아사거리역,1,,,1
4호선,미아역,,,,0
7호선,반포역,,,,0
5호선,발산역,,,1,1
2호선,방배역,,,,0
5호선,방이역,,,,0
1호선,방학역,,,,0
5호선,방화역,,,,0
6호선,버티고개역,,,,0
7호선,보라매역,,,,0
6호선,보문역,,,,0
8호선,복정역,,,,0
9호선,봉은사역,,,0.5,0.5
2호선,봉천역,,,,0
6호선,봉화산역,,,,0
3호선,불광역,1,,,1
7호선,사가정역,,,,0
2호선,사당역,,,,0
9호선,사평역,,,,0
4호선,삼각지역,,,,0
2호선,삼성역,,,0.5,0.5
9호선,삼성중앙역,,,,0
4호선,상계역,,,,0
7호선,상도역,,,,0
7호선,상봉역,0.5,,0.5,1
6호선,상수역,,,,0
2호선,상왕십리역,,,,0
6호선,상월곡역,,,,0
5호선,상일동역,,,,0
6호선,새절역,,,,0
9호선,샛강역,,,,0
경의중앙선,서강대역,,,,0
5호선,서대문역,,,,0
경의중앙선,서빙고역,,,,0
2호선,서울대입구역,,1,,1
분당선,서울숲역,,,,0
1호선,서울역,,,,0
2호선,서초역,,,,0
1호선,석계역,,,,0
8호선,석촌역,,,,0
2호선,선릉역,,,,0
9호선,선유도역,,,,0
9호선,선정릉역,,,,0
2호선,성수역,,,,0
4호선,성신여대입구역,1,,,1
5호선,송정역,,,,0
8호선,송파역,,,,0
7호선,수락산역,,1,,1
경의중앙선,수색역,,,,0
3호선,수서역,,,,0
4호선,수유역,0.5,1,,1.5
4호선,숙대입구역,,,,0
7호선,숭실대입구역,,,,0
1호선,시청역,,,,0
5호선,신금호역,,,,0
1호선,신길역,,,,0
경춘선,신내역,,,,0
9호선,신논현역,,,0.5,0.5
2호선,신답역,,,,0
2호선,신당역,,0.3,,0.3
7호선,신대방삼거리역,,,,0
2호선,신대방역,,,,0
1호선,신도림역,,1,,1
2호선,신림역,,1,,1
9호선,신목동역,,,,0
9호선,신반포역,,,,0
9호선,신방화역,,,,0
3호선,신사역,,1,,1
1호선,신설동역,,0.3,,0.3
4호선,신용산역,1,0.5,,1.5
1호선,신이문역,,,,0
2호선,신정네거리역,,,,0
5호선,신정역,,,,0
2호선,신촌역,1,,0.5,1.5
7호선,신풍역,,,,0
4호선,쌍문역,0.5,,0.5,1
5호선,아차산역,,,,0
2호선,아현역,,,,0
3호선,안국역,,,,0
6호선,안암역,,,,0
8호선,암사역,,,,0
분당선,압구정로데오역,1,,,1
3호선,압구정역,2,,,2
5호선,애오개역,,,,0
3호선,약수역,,,,0
경의중앙선,양원역,,,,0
3호선,양재역,,,,0
2호선,양천구청역,,,,0
9호선,양천향교역,,,,0
5호선,양평역,,,,0
7호선,어린이대공원역,,,,0
9호선,언주역,,,,0
5호선,여의나루역,,,,0
5호선,여의도역,1,,,1
2호선,역삼역,,,,0
6호선,역촌역,,,,0
3호선,연신내역,,,1,1
9호선,염창역,,,,0
2호선,영등포구청역,,,,0
5호선,영등포시장역,,0.5,,0.5
1호선,영등포역,1,0.5,,1.5
3호선,오금역,,,,0
1호선,오류동역,,,,0
5호선,오목교역,1,,1,2
3호선,옥수역,,,,0
1호선,온수역,,,,0
5호선,올림픽공원역,,,,0
2호선,왕십리역,1,,,1
1호선,외대앞역,,,,0
2호선,용답역,,,,0
2호선,용두역,,,,0
7호선,용마산역,,,,0
1호선,용산역,2,0.5,,2.5
5호선,우정산역,,,,0
1호선,월계역,,,,0
6호선,월곡역,,,,0
6호선,월드컵경기장역,,,1,1
2호선,을지로3가역,,,,0
2호선,을지로4가역,,,,0
2호선,을지로입구역,1,0.5,,1.5
경의중앙선,응봉역,,,,0
6호선,응암역,,,,0
2호선,이대역,,,0.5,0.5
4호선,이촌역,,,,0
6호선,이태원역,,,,0
3호선,일원역,,,,0
2호선,잠실나루역,,,,0
2호선,잠실새내역,,,,0
2호선,잠실역,,1,,1
3호선,잠원역,,,,0
7호선,장승배기역,,,,0
8호선,장지역,1,,1,2
5호선,장한평역,,1,,1
1호선,제기동역,,,,0
1호선,종각역,,,,0
1호선,종로3가역,1,,,1
1호선,종로5가역,,,,0
2호선,종합운동장역,,,,0
7호선,중계역,1,,,1
7호선,중곡역,,,,0
경의중앙선,중랑역,,,0.5,0.5
7호선,중화역,,,,0
9호선,증미역,,,,0
6호선,증산역,,,,0
1호선,창동역,,,0.5,0.5
6호선,창신역,,,,0
7호선,천왕역,,,,0
5호선,천호역,,1,,1
5호선,청구역,,,,0
7호선,청담역,,,,0
1호선,청량리역,,1,,1
4호선,총신대입구역/이수역,,,2,2
3호선,충무로역,,,,0
2호선,충정로역,,,,0
6호선,태릉입구역,,,,0
7호선,하계역,1,,,1
7호선,학동역,,,,0
3호선,학여울역,,,,0
6호선,한강진역,,,,0
경의중앙선,한남역,,,,0
4호선,한성대입구역,,,,0
2호선,한양대역,,,,0
분당선,한티역,,,,0
2호선,합정역,,1,,1
5호선,행당역,,,,0
4호선,혜화역,1,,,1
2호선,홍대입구역,1,1,,2
3호선,홍제역,,,,0
5호선,화곡역,,,1,1
6호선,화랑대역,,,,0
1호선,회기역,,,,0
4호선,회현역,,,,0
6호선,효창공원역,,,,0
9호선,흑석역,,,,0
